Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned
705,STANDARD,AIBONITO,PR,PRIMARY,18.14,-66.26,NA-US-PR-AIBONITO,FALSE
610,STANDARD,ANASCO,PR,PRIMARY,18.28,-67.14,NA-US-PR-ANASCO,FALSE
611,PO BOX,ANGELES,PR,PRIMARY,18.28,-66.79,NA-US-PR-ANGELES,FALSE
612,STANDARD,ARECIBO,PR,PRIMARY,18.45,-66.73,NA-US-PR-ARECIBO,FALSE
601,STANDARD,ADJUNTAS,PR,PRIMARY,18.16,-66.72,NA-US-PR-ADJUNTAS,FALSE
631,PO BOX,CASTANER,PR,PRIMARY,18.19,-66.82,NA-US-PR-CASTANER,FALSE
602,STANDARD,AGUADA,PR,PRIMARY,18.38,-67.18,NA-US-PR-AGUADA,FALSE
603,STANDARD,AGUADILLA,PR,PRIMARY,18.43,-67.15,NA-US-PR-AGUADILLA,FALSE
604,PO BOX,AGUADILLA,PR,PRIMARY,18.43,-67.15,NA-US-PR-AGUADILLA,FALSE
605,PO BOX,AGUADILLA,PR,PRIMARY,18.43,-67.15,NA-US-PR-AGUADILLA,FALSE
703,STANDARD,AGUAS BUENAS,PR,PRIMARY,18.25,-66.1,NA-US-PR-AGUAS BUENAS,FALSE
704,STANDARD,AGUIRRE,PR,PRIMARY,17.96,-66.22,NA-US-PR-AGUIRRE,FALSE
7675,STANDARD,WESTWOOD,NJ,PRIMARY,40.98,-74.03,NA-US-NJ-WESTWOOD,FALSE
7677,STANDARD,WOODCLIFF LAKE,NJ,PRIMARY,41.02,-74.05,NA-US-NJ-WOODCLIFF LAKE,FALSE
7885,STANDARD,WHARTON,NJ,PRIMARY,40.89,-74.58,NA-US-NJ-WHARTON,FALSE
7981,STANDARD,WHIPPANY,NJ,PRIMARY,40.82,-74.41,NA-US-NJ-WHIPPANY,FALSE
7999,STANDARD,WHIPPANY,NJ,PRIMARY,40.82,-74.41,NA-US-NJ-WHIPPANY,FALSE
8888,PO BOX,WHITEHOUSE,NJ,PRIMARY,40.62,-74.76,NA-US-NJ-WHITEHOUSE,FALSE
8889,STANDARD,WHITEHOUSE STATION,NJ,PRIMARY,40.6,-74.76,NA-US-NJ-WHITEHOUSE STATION,FALSE
7095,STANDARD,WOODBRIDGE,NJ,PRIMARY,40.55,-74.28,NA-US-NJ-WOODBRIDGE,FALSE
7481,STANDARD,WYCKOFF,NJ,PRIMARY,40.99,-74.16,NA-US-NJ-WYCKOFF,FALSE
10451,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10452,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10453,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10454,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10455,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10456,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10457,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10458,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10459,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10460,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10461,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10462,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10463,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10464,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10465,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10466,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10467,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10468,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10469,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10470,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10471,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10472,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
10473,STANDARD,BRONX,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,FALSE
